Source,Detector,Chroma,Condition,Variable,Value
Source,Detector,hbr,NoGo:Group_Short,ChannelStats_power,0.887451785876474
Source,Detector,hbr,NoGo:Group_Short,ChannelStats_se,0.210446196828428
Source,Detector,hbr,Go:Group_Long,ChannelStats_p,0.556519594545002
Source,Detector,hbr,Go:Group_Long,ChannelStats_q,0.828966059446816
Source,Detector,hbr,Go:Group_Long,ChannelStats_tstat,0.591331637694857
Source,Detector,hbr,Go:Group_Long,ChannelStats_beta,0.113113556868284
Source,Detector,hbr,Go:Group_Long,ChannelStats_power,0.767080143403987
Source,Detector,hbr,Go:Group_Long,ChannelStats_se,0.191286157644509
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_p,0.177769793946346
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_q,0.474052783856922
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_tstat,-1.36365801364498
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_beta,-0.260361745000145
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_power,0.666444174975464
Source,Detector,hbr,NoGo:Group_Long,ChannelStats_se,0.190928915017492
